"Activity" "subject" "Mean" "Sd"
"Walking" 18 -0.656817188575758 -0.316796075266667
"Walking" 23 -0.768765787878788 -0.394644899606061
"Walking" 6 -0.766122584848485 -0.337452354575758
"Walking" 16 -0.801617044242424 -0.309383741493636
"Walking" 30 -0.631709601878788 -0.297298643166667
"Walking" 25 -0.704522831575758 -0.35905221199697
"Walking" 5 -0.715672601387879 -0.309426157272727
"Walking" 28 -0.547240072606061 -0.270288312572727
"Walking" 13 -0.623224463333333 -0.241678631168788
"Walking" 11 -0.645496719575758 -0.36204925210303
"Walking" 10 -0.590597459848485 -0.253556792909091
"Walking" 12 -0.790017496545455 -0.321387587487879
"Walking" 1 -0.483494013909091 -0.331833990954545
"Walking" 19 -0.771468123636364 -0.313985693690909
"Walking" 21 -0.722573808787879 -0.228747843706061
"Walking" 17 -0.506312318751515 -0.163430507636364
"Walking" 14 -0.787359128333333 -0.304329219248485
"Walking" 24 -0.638982319272727 -0.291763333781515
"Walking" 22 -0.71741498469697 -0.285138052363636
"Walking" 7 -0.698664643312121 -0.251887792939394
"Walking" 9 -0.524381684242424 -0.389510106272727
"Walking" 8 -0.703593063515152 -0.253894851121212
"Walking" 26 -0.701452770909091 -0.253878392266667
"Walking" 2 -0.755843617575758 -0.31553001250303
"Walking" 29 -0.653477945263636 -0.241746063318182
"Walking" 27 -0.571079934739394 -0.239433525636364
"Walking" 15 -0.68927758969697 -0.398876290081818
"Walking" 3 -0.789611139212121 -0.353901832154545
"Walking" 4 -0.583387202727273 -0.197005083593939
"Walking" 20 -0.66987806730303 -0.302760232651515
"Walking (upstairs)" 18 -0.560600097090909 -0.236421376233333
"Walking (upstairs)" 25 -0.641589385818182 -0.31056887089697
"Walking (upstairs)" 10 -0.714990732212121 -0.201268223987879
"Walking (upstairs)" 21 -0.667262209606061 -0.313472818027273
"Walking (upstairs)" 2 -0.63896650169697 -0.267972508
"Walking (upstairs)" 7 -0.777490721242424 -0.319886572462121
"Walking (upstairs)" 12 -0.656941229256061 -0.376229245509091
"Walking (upstairs)" 28 -0.641506832366667 -0.265572917424242
"Walking (upstairs)" 23 -0.581961640966667 -0.265697451239394
"Walking (upstairs)" 24 -0.627250103333333 -0.323686348121212
"Walking (upstairs)" 6 -0.723187823636364 -0.253098179512121
"Walking (upstairs)" 11 -0.596567109909091 -0.3190699142
"Walking (upstairs)" 19 -0.711453871727273 -0.272046789784848
"Walking (upstairs)" 4 -0.570754132727273 -0.332074141342424
"Walking (upstairs)" 13 -0.717197112727273 -0.360233316606061
"Walking (upstairs)" 1 -0.658726861636364 -0.310478181136364
"Walking (upstairs)" 16 -0.482203152827273 -0.271740315481818
"Walking (upstairs)" 9 -0.723754052787879 -0.308889372424242
"Walking (upstairs)" 14 -0.756183211454545 -0.373224501787879
"Walking (upstairs)" 8 -0.570432292151515 -0.241157917206061
"Walking (upstairs)" 30 -0.646695858757576 -0.302123752306061
"Walking (upstairs)" 17 -0.605138184030303 -0.285742039121212
"Walking (upstairs)" 22 -0.707073696757576 -0.309733369939394
"Walking (upstairs)" 20 -0.589413902666667 -0.289596518272727
"Walking (upstairs)" 26 -0.609591738909091 -0.338255330060606
"Walking (upstairs)" 15 -0.679502498787879 -0.23966794909697
"Walking (upstairs)" 29 -0.676431157969697 -0.277087839418182
"Walking (upstairs)" 3 -0.723090058939394 -0.233428806154545
"Walking (upstairs)" 27 -0.759242487515151 -0.289170501272727
"Walking (upstairs)" 5 -0.881873613878788 -0.423210945778788
"Walking (downstairs)" 25 -0.697414513606061 -0.322840634127273
"Walking (downstairs)" 6 -0.63579624869697 -0.309131443945454
"Walking (downstairs)" 13 -0.835354086363636 -0.452345831921212
"Walking (downstairs)" 10 -0.604926567393939 -0.278676700787879
"Walking (downstairs)" 23 -0.666056193066667 -0.290671382521212
"Walking (downstairs)" 28 -0.844310617939394 -0.429879211030303
"Walking (downstairs)" 1 -0.615040403030303 -0.313312159351515
"Walking (downstairs)" 16 -0.721417507060606 -0.301927042181818
"Walking (downstairs)" 22 -0.779802743060606 -0.336268167939394
"Walking (downstairs)" 9 -0.765513380909091 -0.38398510902
"Walking (downstairs)" 11 -0.764158122612121 -0.417580887972727
"Walking (downstairs)" 18 -0.606575744969697 -0.190877492575758
"Walking (downstairs)" 24 -0.724121631384849 -0.372336646666667
"Walking (downstairs)" 21 -0.656988402272727 -0.258816583636364
"Walking (downstairs)" 30 -0.710156089545455 -0.285281927412121
"Walking (downstairs)" 2 -0.685151817060606 -0.400016787560606
"Walking (downstairs)" 19 -0.640226571545455 -0.363117809087879
"Walking (downstairs)" 12 -0.636716596242424 -0.318422488030303
"Walking (downstairs)" 27 -0.76871121030303 -0.341458310727273
"Walking (downstairs)" 14 -0.609438958060606 -0.357494500727273
"Walking (downstairs)" 8 -0.590193640515151 -0.257163285536364
"Walking (downstairs)" 4 -0.657564184636364 -0.307747427724242
"Walking (downstairs)" 7 -0.762614574212121 -0.442643309857576
"Walking (downstairs)" 20 -0.718705961757576 -0.296526033181818
"Walking (downstairs)" 15 -0.649874609242424 -0.255798533690909
"Walking (downstairs)" 17 -0.681008650606061 -0.163649447121212
"Walking (downstairs)" 26 -0.818826854545454 -0.381224715730303
"Walking (downstairs)" 5 -0.625629315757576 -0.293633291545455
"Walking (downstairs)" 29 -0.821966061121212 -0.332123451754545
"Walking (downstairs)" 3 -0.653669142060606 -0.303552913363636
"Sitting" 10 -0.573959679427273 -0.180900996912121
"Sitting" 28 -0.702377542727273 -0.311328074751515
"Sitting" 13 -0.686472888090909 -0.305391692242424
"Sitting" 16 -0.712319108454545 -0.44127830669697
"Sitting" 14 -0.6611263 -0.290640613945455
"Sitting" 6 -0.670913268333333 -0.378051043790909
"Sitting" 24 -0.651053839393939 -0.303029612324242
"Sitting" 23 -0.743811426969697 -0.362268565893939
"Sitting" 30 -0.69947522030303 -0.341997735484848
"Sitting" 22 -0.710324143242424 -0.302484517778788
"Sitting" 4 -0.746137857878788 -0.290883673040909
"Sitting" 12 -0.718163882757576 -0.377873326363636
"Sitting" 21 -0.705968388848485 -0.289295471484848
"Sitting" 19 -0.636159123575758 -0.330729664575758
"Sitting" 3 -0.643665509818182 -0.384976321436364
"Sitting" 11 -0.727751231912121 -0.259164399369697
"Sitting" 18 -0.51114248930303 -0.172686079593939
"Sitting" 27 -0.729779584727273 -0.364400902606061
"Sitting" 25 -0.62699425879697 -0.272888922154545
"Sitting" 15 -0.722446463333333 -0.2719442223
"Sitting" 2 -0.741466553333333 -0.31300790134303
"Sitting" 29 -0.838124533939394 -0.33177460630303
"Sitting" 5 -0.699313403939394 -0.321840597551515
"Sitting" 9 -0.648692671818182 -0.335634222727273
"Sitting" 26 -0.626359133121212 -0.244541037115152
"Sitting" 1 -0.661015545515152 -0.502328337357879
"Sitting" 17 -0.679453006884848 -0.242243616181818
"Sitting" 20 -0.687813296727273 -0.335413511759394
"Sitting" 8 -0.689132709727273 -0.307948277272727
"Sitting" 7 -0.784041318787879 -0.402030464909091
"Standing" 2 -0.935668796666667 -0.495124949030303
"Standing" 20 -0.914672266666667 -0.436739449772727
"Standing" 7 -0.921394891212121 -0.497259541530303
"Standing" 4 -0.806362903060606 -0.332294832957576
"Standing" 26 -0.957339257272727 -0.500751544051515
"Standing" 19 -0.846337075090909 -0.457028184484848
"Standing" 8 -0.853827009636364 -0.430135098015152
"Standing" 9 -0.662739648757576 -0.397448084030303
"Standing" 27 -0.763392062424242 -0.388757789212121
"Standing" 24 -0.928303899090909 -0.517431357742424
"Standing" 21 -0.882376863030303 -0.466597934742424
"Standing" 10 -0.792246054848485 -0.382270621090909
"Standing" 1 -0.777035022121212 -0.325992558393939
"Standing" 28 -0.905025213121212 -0.485421609939394
"Standing" 14 -0.691605249763636 -0.386539671484848
"Standing" 3 -0.852905333636364 -0.398326149990909
"Standing" 12 -0.926214513636364 -0.392197242957576
"Standing" 22 -0.909537485151515 -0.430177856142424
"Standing" 29 -0.838161458181818 -0.329718079248485
"Standing" 15 -0.86231938030303 -0.453748365851515
"Standing" 23 -0.922489049090909 -0.451575785660606
"Standing" 13 -0.81350178 -0.378625406866667
"Standing" 30 -0.900453106666667 -0.422955245727273
"Standing" 16 -0.795248584545455 -0.343664234770909
"Standing" 25 -0.942293286363636 -0.464314045827273
"Standing" 6 -0.709259078181818 -0.471942037939394
"Standing" 18 -0.76376511930303 -0.408986469863636
"Standing" 17 -0.808433033424242 -0.419486428515151
"Standing" 11 -0.865513876969697 -0.388080229636364
"Standing" 5 -0.713683971363636 -0.359681353436364
"Laying down" 23 -0.614093829666667 -0.30095505409697
"Laying down" 28 -0.765439075363636 -0.366567436606061
"Laying down" 26 -0.678640556375758 -0.266660514518182
"Laying down" 18 -0.640771175636364 -0.321918507209091
"Laying down" 10 -0.772170973030303 -0.406191836760606
"Laying down" 16 -0.65939364430303 -0.303255213745454
"Laying down" 30 -0.651317961636364 -0.371368452242424
"Laying down" 21 -0.635962160454545 -0.325964578266667
"Laying down" 13 -0.774639613454545 -0.359236656393939
"Laying down" 12 -0.677573143939394 -0.333465550790909
"Laying down" 6 -0.673402980751515 -0.321366471912121
"Laying down" 14 -0.699933495151515 -0.290293204441212
"Laying down" 15 -0.59984041930303 -0.369258500327273
"Laying down" 3 -0.548637593363636 -0.3656593927
"Laying down" 1 -0.720624148333333 -0.324165325363636
"Laying down" 22 -0.699682353939394 -0.337391035636364
"Laying down" 5 -0.639273954363636 -0.316292631769697
"Laying down" 24 -0.724707765606061 -0.29744024730303
"Laying down" 25 -0.833104156666667 -0.371095003151515
"Laying down" 19 -0.806719504848485 -0.425562069760606
"Laying down" 11 -0.713961226363636 -0.411091970266667
"Laying down" 9 -0.661160877212121 -0.237631427818182
"Laying down" 29 -0.618169640121212 -0.212397798263636
"Laying down" 20 -0.603889305272727 -0.367807749787879
"Laying down" 27 -0.607169549878788 -0.2176371307
"Laying down" 4 -0.871909025181818 -0.305527208733333
"Laying down" 2 -0.688852455121212 -0.316494747272727
"Laying down" 17 -0.77963497430303 -0.236243872393939
"Laying down" 7 -0.735796566424242 -0.409355592336364
"Laying down" 8 -0.766875805757576 -0.433754512312121
